選擇,系統編號,單位(使用者)名稱,帳號,確定
,6,化工與材料工程系,che,
,7,冷凍空調與能源系,rac,
,8,機械工程系,me,
,9,企業管理系,badger,
,10,行銷與流通管理系(所),dm,
,11,資訊管理系,mis,
,13,工業工程與管理系,ie,
,14,電機工程系,em,
,15,電子工程系,ee,
,16,資訊工程系,csie,
,17,應用英語系,ae,
,18,通識教育中心,gen,
,19,健康產業科技研發與管理系,rsm,
,20,景觀系,landscape,
,21,文化創意事業系,culture,
,22,體育室,opes,
,23,教學資源組,resources,
,24,諮商輔導組,scc,
,25,研究發展處,otc,
,26,工程學院,E,
,27,管理學院,M,
,28,電資學院,I,
,29,文創學院,H,
,30,行政單位,A,
,32,電子計算機中心,cycc,
,33,生活輔導組,osa3,
,35,軍訓室,mil,
,36,國際事務處,oia,
,37,圖書館,lib,
,38,秘書室,os,
,40,環境保護及安全衛生中心,doep,
,41,學務處．課指組,osa4,
,42,教務處．課務組,oaa2,
,43,人事室,op,
,45,學務處．衛保組,osa5,
,46,教師成長校外活動,outschool,
,47,推廣部,cec,
,48,創辦人暨校友服務辦公室,alumni,
,49,總務處,oga,
,50,語言中心,lc,
,55,進修部,f20,
,56,通識學院,G,
,57,博雅通識教育中心,lgen,
,58,基礎通識教育中心,bgen,
,59,主計室,account,
,60,學務處,osa,
,64,精密製造科技研究所(博士班),pmti,
,74,永續與校務研發中心,ir,
,78,招生事務處,recruit,
,80,智慧自動化工程系,iae,
,81,人工智慧應用工程系,ai,
,82,前瞻電資科技研究所,ptcc,
,83,系統管理員,system,
,84,藝術中心,art,
,86,智慧製造與資訊應用國際碩士學位學程,smai,
,87,健康產業科技研發與管理系碩士班,rsmM,
